FT	ID	AT	WT	ST
2	11	5	0	2
6	4	5	0	6
7	3	5	0	7
8	13	5	0	8
10	12	5	0	10
12	14	5	0	12
13	1	5	0	13
14	2	5	0	14
17	46	37	15	2
17	49	37	14	3
18	5	5	0	18
20	48	37	14	6
23	47	37	5	18
25	29	32	2	23
26	8	5	19	7
29	6	5	26	3
29	7	5	26	3
34	21	19	11	23
35	10	5	30	5
39	23	23	12	27
40	42	37	22	18
41	45	37	36	5
41	43	37	34	7
45	41	37	35	10
49	44	37	40	9
53	40	37	41	12
65	30	35	43	22
73	28	30	55	18
93	9	5	88	5
96	26	26	83	13
101	18	19	75	26
112	24	23	67	45
121	15	7	18	103
123	22	22	79	44
125	27	29	92	33
146	25	25	77	69
166	16	9	109	57
166	17	13	157	9
227	20	19	176	51
291	19	19	100	191
293	31	36	276	17
328	32	36	325	3
349	33	36	346	3
370	34	36	367	3
391	35	36	388	3
415	36	36	409	6
422	37	36	412	10
443	38	36	436	7
449	39	36	439	10
Orders: 49	[ Norm: 5, Veg: 13, VIP: 31 ]
cooks: 9	[ Norm: 5, Veg: 2, VIP: 2, injured: 45 ]
Avg Wait= 102.02, Avg Serv= 20.7959
Urgent Orders: 1, Auto-promotion: 24.4898%
